Season,Squad,Comp,Poss
2022-2023,Vizela,pr Primiera Liga,45.5
2022-2023,Anderlecht,bl Pro League,54.1
2022-2023,Antwerp,bl Pro League,56.1
2022-2023,Cercle Brugge,bl Pro League,44.6
2022-2023,Charleroi,bl Pro League,51.6
2022-2023,Club Brugge,bl Pro League,57.8
2022-2023,Eupen,bl Pro League,47.0
2022-2023,Genk,bl Pro League,53.6
2022-2023,Gent,bl Pro League,55.6
2022-2023,Kortrijk,bl Pro League,49.3
2022-2023,Mechelen,bl Pro League,51.8
2022-2023,OH Leuven,bl Pro League,50.6
2022-2023,Oostende,bl Pro League,43.7
2022-2023,R.F.C. Seraing,bl Pro League,41.2
2022-2023,Sint-Truiden,bl Pro League,44.0
2022-2023,Standard Liège,bl Pro League,51.1
2022-2023,Union SG,bl Pro League,51.5
2022-2023,Westerlo,bl Pro League,49.9
2022-2023,Zulte Waregem,bl Pro League,46.9
2022-2023,Birmingham City,en EFL Championship,42.3
2022-2023,Blackburn,en EFL Championship,53.5
2022-2023,Blackpool,en EFL Championship,42.8
2022-2023,Bristol City,en EFL Championship,49.6
2022-2023,Burnley,en EFL Championship,64.0
2022-2023,Cardiff City,en EFL Championship,46.6
2022-2023,Coventry City,en EFL Championship,46.9
2022-2023,Huddersfield,en EFL Championship,41.4
2022-2023,Hull City,en EFL Championship,50.0
2022-2023,Luton Town,en EFL Championship,46.2
2022-2023,Middlesbrough,en EFL Championship,57.7
2022-2023,Millwall,en EFL Championship,45.6
2022-2023,Norwich City,en EFL Championship,56.6
2022-2023,Preston,en EFL Championship,47.6
2022-2023,QPR,en EFL Championship,49.3
2022-2023,Reading,en EFL Championship,42.0
2022-2023,Rotherham Utd,en EFL Championship,42.9
2022-2023,Sheffield Utd,en EFL Championship,51.1
2022-2023,Stoke City,en EFL Championship,52.7
2022-2023,Sunderland,en EFL Championship,53.6
2022-2023,Swansea City,en EFL Championship,63.4
2022-2023,Watford,en EFL Championship,52.3
2022-2023,West Brom,en EFL Championship,53.4
2022-2023,Wigan Athletic,en EFL Championship,48.1
